Delta,case,A,time,linear_drho2_over_epsilon,nonlinear_drho2_over_epsilon
0.001,EP,0.18061960298019653,252.20000000000002,0.01837409535642906,0.018805773845942397
0.001,EP,0.18061960298019653,252.4,0.018297849490576168,0.018727963609910248
0.001,EP,0.18061960298019653,252.60000000000002,0.01822191113415553,0.018650465976044472
0.001,EP,0.18061960298019653,252.8,0.018146279097192932,0.018573279740863313
0.001,EP,0.18061960298019653,253.0,0.01807095219402695,0.01849640370421568
0.001,EP,0.18061960298019653,253.20000000000002,0.017995929243295322,0.018419836673722045
0.001,EP,0.18061960298019653,253.4,0.017921209067919577,0.01834357745700288
0.001,EP,0.18061960298019653,253.60000000000002,0.0178467904950925,0.018267624869450216
0.001,EP,0.18061960298019653,253.8,0.017772672356264178,0.018191977728676534
0.001,EP,0.18061960298019653,254.0,0.017698853487128137,0.018116634856735203
0.001,EP,0.18061960298019653,254.20000000000002,0.017625332727607607,0.018041595082340933
0.001,EP,0.18061960298019653,254.4,0.01755210892184172,0.01796685723642888
0.001,EP,0.18061960298019653,254.60000000000002,0.017479180918172247,0.017892420153264865
0.001,EP,0.18061960298019653,254.8,0.017406547569130015,0.017818282671555608
0.001,EP,0.18061960298019653,255.0,0.017334207731421143,0.017744443637779383
0.001,EP,0.18061960298019653,255.20000000000002,0.01726216026591325,0.017670901897304248
0.001,EP,0.18061960298019653,255.4,0.017190404037622377,0.017597656302159592
0.001,EP,0.18061960298019653,255.60000000000002,0.01711893791569979,0.017524705709925925
0.001,EP,0.18061960298019653,255.8,0.017047760773417724,0.0174520489804042
0.001,EP,0.18061960298019653,256.0,0.01697687148815693,0.017379684977836263
0.001,EP,0.18061960298019653,256.2,0.01690626894139227,0.01730761257090485
0.001,EP,0.18061960298019653,256.40000000000003,0.01683595201868056,0.017235830631623372
0.001,EP,0.18061960298019653,256.6,0.016765919609645952,0.017164338036446125
0.001,EP,0.18061960298019653,256.8,0.016696170607968464,0.017093133667378524
0.001,EP,0.18061960298019653,257.0,0.01662670391136877,0.017022216409756652
0.001,EP,0.18061960298019653,257.2,0.016557518421596355,0.016951585150026816
