M,eta,lambda1_real,lambda1_imag,lambda2_real,lambda2_imag,discriminant,g,gcrit,R_B,bounded_margin,spectral_gap,invariance_residual,spectral_abscissa
5,0.182,-0.054451667688199513,0.0,-0.06410085641843441,0.0,9.310684315169215e-05,-0.008509001023882546,0.009781605656146502,0.6563217546996265,-0.13848350861600656,0.057306526242855746,2.085084980210942e-16,-0.05445166768819937
5,0.183,-0.05456659163802755,0.0,-0.06395419446839617,0.0,8.812708690074492e-05,-0.008544123858406121,0.009748529336929285,0.6591230921419025,-0.1311134988105943,0.05751065945442016,1.246889299830482e-16,-0.05456659163802746
5,0.184,-0.054685225713891304,0.0,-0.063803733341112,0.0,8.314718134768209e-05,-0.00857933723235856,0.009715545413586124,0.6619164431403798,-0.12373324460077673,0.05771883199916422,1.5679078159222446e-16,-0.05468522571389134
5,0.185,-0.05480791715134803,0.0,-0.06364912590269484,0.0,7.816697218489136e-05,-0.008614640735959448,0.00968265346151946,0.6647015968597779,-0.11634357426412256,0.05793139218261771,2.0113792957060218e-16,-0.05480791715134786
5,0.186,-0.05493506932976212,0.0,-0.0634899688836545,0.0,7.31863063771882e-05,-0.008650033961605682,0.009649853062675552,0.6674783447261936,-0.10894531864316126,0.05814874445064103,1.6824908728252652e-16,-0.054935069329762075
5,0.187,-0.05506715542840305,0.0,-0.0633257892227061,0.0,6.820503214840449e-05,-0.00868551650385834,0.009617143805511942,0.6702464804888415,-0.10153931078464207,0.05837136304590594,2.0562095898104476e-16,-0.05506715542840315
5,0.188,-0.0552047366771911,0.0,-0.06315602581594759,0.0,6.32229989681069e-05,-0.00872108795942679,0.009584525284962508,0.6730058002804656,-0.09412638557770003,0.05859981025899995,1.995417638002046e-16,-0.05520473667719056
5,0.189,-0.055348487246157006,0.0,-0.0629800046273048,0.0,5.824005753876074e-05,-0.008756747927156625,0.009551997102410156,0.6757561026762754,-0.08670737939154227,0.05883476131827663,1.5730805155088347e-16,-0.055348487246157096
5,0.19,-0.05549922898830237,0.0,-0.0627969039455948,0.0,5.325605978229311e-05,-0.008792496008014284,0.009519558865647105,0.6784971887518295,-0.07928312971172846,0.05907703913308597,2.0752208777428266e-16,-0.05549922898830239
5,0.191,-0.05565798127013636,0.0,-0.06260570455389802,0.0,4.8270858827723995e-05,-0.008828331805072724,0.009487210188848438,0.6812288621390286,-0.07185447477752882,0.05932766412470107,1.7726559011326147e-16,-0.05565798127013639
5,0.192,-0.05582603476721819,0.0,-0.06240511593393778,0.0,4.3284308998284466e-05,-0.008864254923497503,0.009454950692537791,0.6839509290809622,-0.0644222532185772,0.05958792802224181,2.0225952079666375e-16,-0.05582603476721866
